Descrição
PAPEL VERGE DIAMANTE A4 120G PT/100FL JOTAPEL
Bancada Aberta com 2 Gaveta 2000mm Cinza C56W BETA 056000252 BETA
Chave para Remocao/Instalacao de Turbinas em Motores Volkswagen Audi a Diesel 12mm 1476T BETA 014760200 BETA
MARCA TEXTO MARKING 970913 C/4 CORES PASTEL BIC
Lavadora de Alta Pressão 800 Libras 380L/H 36W com Bateria Carregador Maleta 220V DHW080ZK MAKITA DHW080ZK-KIT220 MAKITA
GIZ BRANCO PLASTIFICADO C/500 PALITOS ZIG GIZ
CADERNO UNIVERSITARIO CAPA DURA 10X1 200FLS MAX STEEL JANDAIA  WW 
HD EXTERNO 1 TERA USB 3.0 WDBUZG0010BBK WERSTERN DIGITAL
E.V.A 40 X 48 MARROM C/1 FOLHA RDJ
Bancada Multiuso Desmontável com Tampo Compensado Pinus de 40mm 3 Portas BM-Z MARCON BM-Z MARCON
SAPATO VAQ/RELAX CAD PU BI B/ACO PT N42 ANTIEST 4880AE SAFETLINE
Cabo Alumínio Isolado 1Kv Xlpe 70Mm Nbr 7285 Rolo 50 Metros
"GARRA BLOQUEIO SEG AC EPO 25MM (1"") 6CAD AM T218 BRADY"
LAVA ROUPAS LIQUIDO COCO 500 ML OLA
TINTA TECIDO FOSCA MARROM 37ML ACRILEX 531
CARTUCHO DE TINTA HP 932XL - CN053AL PRETO ORIGINAL
PANO TIPO SACO ALVEJADO 100% ALGODAO BRANCO 65X35CM NOVACOV                               
WWW BISCOITO NEGRESCO 126G NESTLE WWW
Macaco Hidráulico Telescópico para Caixa de Transmissão de Automóveis 102522 RAVEN 102522 RAVEN
CHUMBADOR PARAB AC ZINC 1/4X3P ARTOLE CA014070
SERRA ESQUADRIA 10POL FG0007FE 255MM 1500W 220V FORTG PRO
PINCEL (C) 1 954.. VONDER
Bolsa de Lona para Ferramentas 16'' com 33 Divisórias 3540412128 VONDER 3540412128 VONDER
BOMBOM OURO BRANCO 1KG MONDELEZ
KIT SERRA TICO TICO 110V GST650 E SERRA SABRE + BOLSA + 2 BAT E CARREG
"CALÇADO TIPO BOTINA - COURO VAQUETA E MICROFIBRA - FECHAMENTO EM CADARÇO, BIQUEIRA DE COMPOSITE, BID, RESISTENDE A OLEO COMBUSTIVEL - CA 44027 - 4857/AE/HT - TAMANHO 42"
TESOURA USO GERAL 21CM BRW TE2101
"Cabo De Comando 3X1,00mm Veias Numeradas 500V 70G Nbr 7289 Rolo 50 Metros"
OCULOS JAMAICA AZUL ESPELHADO-012021 KALIPSO
RESPIRADOR SEMI-FAC SIL MD COMFO II 297734 - 434 MSA
Carrinho Fechado para Ferramentas Laranja 037000271 BETA  037000271 BETA
Travessa do Pé para Carrinho de Mão 3399208014 VONDER 3399208014 VONDER
PNEU 235/75R17.5 CAR603 143/141J 18PR - LISO - CHENGSHAN
Alicate para Remover Reles. Padrão Reto 1497D BETA 014970150 BETA
Terminal Tubo 8mm Inox 316 8287 ROBUR 082870208 ROBUR
LUVA SEG P.MEC/QUIM NITR VD T 10 ALPHATEC 37175 - 12705 ANSELL
"ROLAMENTO DE ROLETE P/EIXO 1"" - 40X49 RM-45 MARCON"
BOTINA VAQ/RELAX ELAST PU BI B/ACO P/ACO PT N42 4065HESS242 FUJIWARA 4065HESS2420FX
FORNO GAS INDL ROMA INOX 110 FIRI110 VENANCIO
BISCOITO FUBA C/ COCO 500G D'ANITA
Bolsa para Ferramentas 12'' com Abertura Ampla Massive Mouth TB-60-12 TOUGHBUILT TB-60-12 TOUGHBUILT
Jogo de Agulha/Bico/Capa/Guia/Núcleo/Porca 1.4mm para Pistola de Pintura PSV 100 6220200112 VONDER 6220200112 VONDER
BOTINA DE AMARRAR ACOLCHOADA ANTITORÇÃO COM BIQUEIRA PLASTICA 4855AC-15 Nr.38 CA 12783
"Roda Completa para Carrinho de Mão com Pneu Maciço Furo 1"" 6110100100 VONDER 6110100100 VONDER"
"Roldana para Portão 4"" tipo V em Nylon sem Caixa 3212400000 VONDER 3212400000 VONDER"
Plugue Macho 20A 2P T com Prensa 1067-2 Pezzi
Bancada Modular com Tampo Madeira Pinus 40mm (Desmontado) 2200-MP1 MARCON 2200-MP1 MARCON
CAA33-5 - ELEMENTO COALESCEDOR QUALIFICADO EI-1581 AVIACAO FACET CAA33-5
SABONETE DESENGRAXANTE ESFOLIANTE 4L LIQUIDO 0063917 - NUTRIEX 65B22AHIDRO
LAPIS DE COR ECOLAPIS SUPERSOFT 100 CORES 1207100SOFT FABER-CASTELL
GRAFITE 09 2B TUBO C/24 MINAS FABER-CASTELL WW
"Manilha Reta para Cabo de Aço 5/16"" 3564516000 VONDER 3564516000 VONDER"
Porca Olhal M27 Galvanizada 8042EZ ROBUR 080420427 ROBUR
SAPATO RASP/RELAX ELAST PU BI B/ACO PT N45 95S19A - 41428 MARLUVAS HIT015101
PLASTICO AUTO ADESIVO PRATA HOLOGRAFICO PINGOS 45cm x 10m 1706 DAC
Jogo Com 4 Alavancas Multiuso Para Paineis e Pecas Frageis 1479L/K4 Beta 014790604 BETA
FUNIL DE VIDRO BOCA 75MM LISO
(ESPECIAL) PAPEL SULFITE A5 75G CHAMEX CX C/20 RESMAS
Jogo de Chaves Especiais para Parafusos de Cabeçote 1013CQ RAVEN 1013CQ KINGTONY
Graxa para Engrenagens de Roçadeiras 80Gr MULTIUSO STIHL 0781-120-1028 STIHL
JOELHO 45G SOLD 50MM MR TIGRE 22140507
"FRITADEIRA ELETRICA AIR FRYER 5,5L GRAND FAMILY PRETO/INOX 1900W AF-55I 110V MONDIAL"
TORNEIRA ESFERA DE JARDIM 3/4POL 13405 RAYCO
CANETA ESFEROGRAFICA RETRATIL WOW 1.0MM VERDE BK440-D PENTEL
ETIQUETA ADESIVA REDONDA TP-12 AZUL NEON C/210 PIMACO
PANO LIMPEZA BOB. 20cm x 300m LARANJA - LIFE CLEAN**UN**
PLASTIFICADORA A3 LM3201H 127V AURORA
Bainha Cinta Elevação Carga 170mm x 3MT 8166 ROBUR 081660170 ROBUR
Alca de Ombro para Mala c9 e C10 C9/RT BETA 021090900 BETA
ALCOOL GEL ACENDEDOR 10kg - FLOPS  **UN**
Expositor Vazio Com Gaveta Beta C68 BETA 068000001 BETA
LIMPADOR PERFUMADO AGRADABLE 1L CASA&PERFUME
SAPATO COU/VAQ CAD PU BI B/ACO PT N37 4045BSAS2400LL - 26735 BRACOL
Coluna Luminosa 60mm Pré Montada 24VCA/CC XVGB3W - SchneiderElectric
"TRENA ACO (T)  5M X 19,0MM GRAD. MM VD.. VONDER"
SACO LIXO 105L - 4 RESISTENTE - PRETO C/100 - TS COLLECTION **PCT C/100UN**
CAPSULA CAFE ESPRESSO L'OR ULTIMO 13 52G C/10 UNIDADES
Bolsa Colde para Ferramentas com Cliptech TB-CT-36-L6 TOUGHBUILT TB-CT-36-L6 TOUGHBUILT
DICLOROMETANO HPLC LICHROSOLV  MERCK
"Roda Maciça 14"" com Rolete e Aro 250kg RM-23 MARCON RM-23 MARCON"
CADEIRA DIRETOR KORPEX HU-3607B-LP TELADA PRETA
Eletrocalha perfurada 100x50mm zincada-chapa 24
"PANO WIPE WYPALL AZUL 34 X 28,8CM C/ 50 PANOS"
LUVA LATEX MULTIUSO AMARELA P SANRO FIT (CA 50694)
Manilha Esticador M24 Zincado Rosca Esquerda 8009FZS ROBUR 080090424 ROBUR
Cinta Amarracao Carga Catracada 6.5 TON x 6.1MT 8182 ROBUR 081820065 ROBUR
Estante Metálica com Gaveteiras Preta 1500x530x200 6127027571 VONDER 6127027571 VONDER
Cinta Elevação Carga Circular 3TON x 1 Metro 8176 ROBUR 081760020 ROBUR
CADERNO CARTOGRAFIA ESPIRAL CAPA FLEXIVEL 96FLS BASIC ART JANDAIA
LUVA NITRIL AZ T 8/G C/100UN NITRILPRO899 MAPA MUCAMBO
RESPIRADOR DESC BR S/VAL PFF2 AURA 9320 HB004385173 - 30592 3M
"CALIBRE DE FOLGA 005 A 100 MM C/20 LAMINAS 113, ZAAS"
Picareta Metálica Alvião Tamanho 4 sem Cabo 77313403 TRAMONTINA 77313403 TRAMONTINA
FELTRO MOVEIS QUADRADO BRANCO GRANDE 30x30mm SCOTCH 3M
Módulo Eva com Jogo de Ferramentas 29 Peças MB46 BETA 24504246 BETA
CADERNO UNIVERSITARIO CAPA DURA 10X1 200FLS HARRY POTTER JANDAIA
Painel para Ferramentas Pequeno Superior com 2 Portas Azul 44953204 TRAMONTINA PRO 44953204 TRAMONTINA PRO
TONER HP CE285AB PRETO
BOTINA DE AMARRAR ANTITORÇÃO ACOLCHOADA ANTIESTÁTICO (DISSIPATIVO) COM BIQUEIRA COMPOSITE COM PALMILHA ANTI-PERFURO - CA 44027 - 4857AC-15/AE/HT - TAMANHO 41
Esticador Cabo Aço M27 Manilha x Manilha Zincado 8009Z ROBUR 080090027 ROBUR
FRAGMENTADORA 150FLS PARTICULAS AS152CM 127V AURORA
Auto transformador 1010VA / 707w 2P + T 10A 110/220 - Fiolux tecno
CAFETEIRA ELETRICA PRATIC 20 XICARAS  CN-01-20X PRETO 220V MONDIAL
Tinta Spray Super Color Cromado Metálico com 350ml 23281006900 TEKBOND 000000069957327167 TEKBOND
"PLATAFORMA 4 LUGARES PÉS PAINEL, COM BIOMBOS E CX TOMADA"
"Cabo Flexível 4,00mm 750V Amarelo Rolo com 100 Metros"
MOCHILA C/ CARRINHO PACK ME OCEAN AZUL 998BG01 PACIFIC
ROTEADOR WIFI 300MBPS W4-300F INTELBRAS
LUVA VAQ PETROL PUNHO 7CM CA 11237 TECNOSEG
BOTA PROF PVC PT C/ MD C/F S/B 44 110VFLEXFPR - 42291 MARLUVAS 3272
Condulete Pvc Branco Sem Rosca Lr 3/4 Sem Tampa Lr - I - Srg 15 Wetzel
GARRAFA PLASTICA HORA DA AVENTURA EFFECT DMW 11123
"PASTA ABA ELASTICA OFICIO DELLOFINE VERMELHA 0,35 MICRA DELLO 0241.U"
COLETOR 120L VERDE 13747 LAR PLASTICOS
Máscara Respiratória com Válvula Descartável Aura PFF2 9322 3M HB004384994 3M
PLACA ACESSORIA CAIXA CAMBIO ZF S5-680 700321 RAVEN
GRAFITE 09 2H TUBO C/12 MINAS PENTEL WW
Corrente Elevação 4x3MT 3.15t C/Gancho Altoblocante 8094SL ROBUR 080940223 ROBUR
CADERNETA ESPIRAL CAPA DURA 96FLS PAUTADA SHINE 10X15CM FORONI WW
Corrente Elevação 4x2MT 3.15t Gancho Encurtador C/Gancho Segurança 8098 ROBUR 080980022 ROBUR
CALIBRADOR DE PNEUS 14 A 120LBS 7188 LONGO NIQUELADO SCHWEER
RESPIRADOR FACIAL SIL MD FF402 HB004187074 - 28019 3M
Condulete Alumínio Sem Rosca Com Pintura Tipo C 1.1/2 Com Tampa Wetzel
ROTULADOR ELETRONICO PTH110TB VERDE BROTHER
NIVEL ECONOMICO ALUM 3 BOLHAS 35CM KLIS14-S STARRETT
"Máscara de Proteção Facial Verde 8"" com Catraca 10227010 CARBOGRAFITE 010227010 CARBOGRAFITE"
SACO PLASTICO VAC BAG MEDIO 45X65CM ORDENE 55200
Anilha Cabo Aço 10mm Leve Galvanizada 8020A ROBUR 080200510 ROBUR
LEITOR DE C&Oacute;DIGO DE BARRAS USB OMNIDIRECIONAL 1D 2D C/SUPORTE  HH490-R1 PRETO HONEYWELL
LANTERNA 15 LEDS EL-344 WESTERN
Cinta Amarracao Carga Catracada 0.4 TON x 5MT 8188CG/25 ROBUR 081880450 ROBUR
Caderno Capa Dura Espiral 1/4 96 Folhas Office
BISCOITO DISTRACAO BAUNILHA/CHOCOLATE 320G MARILAN
PALMILHA CONFORMADA N36 - MARLUVAS 100739-36
ALCOOL GEL ANTISSEPTICO 70% HIDRATANTE 230g HANDMAX
 BUSH BEARING & ORING ASSY - ACOPLADOR SERIE 800
MICRO-ONDAS 21 LITROS BRANCO MO-01-21-W 220V MONDIAL
Tronca Esticador M20 Rosca Direita 8004ND ROBUR 080040020 ROBUR
LAVADORA DE PECAS C/ELETRO BOMBA 600X450X915MM 110V LP8-1V MARCON
Chave Especial para Correia do Motor 17mm 1477D BETA 014770117 BETA
LUVA SEG P.QUIM NIT VD T 9 ULTRANITRIL A10 PA47050 MAPA MUCAMBO
Morsa Mecânica de Parede 100mm x 87mm 1599T BETA 015990500 BETA
SAPATO COU/VAQ CAD PU BI B/ACO PT N36 4045BSAS2400LL BRACOL
OMELETEIRA ELETRICA ANTIADERENTE 850W 110V CE078 MULTILASER
LUVA DE PVC FORRADA PALMA GRANULADA 35CM 70030069 PLASTCOR
LUVA SEG P.MEC/QUIM LAT LJ T 9 HARPON PA321609 - 10387 MAPA MUCAMBO
Extratores Com Rosca Interna 3091/40 BETA 030910040 BETA
Máscara de Solda Auto Escurecimento 012568112 CARBO PERFORMANCE MX-P CARBOGRAFITE 012568112 CARBOGRAFITE
Tronca Esticador M39 Rosca Esquerda 8004NS ROBUR 080040199 ROBUR
LAPIS DE COR 15 CORES + 12 CANETINHAS COLOR PEPS MAPED WW
"AVENTAL FRONT TREV LJ/PT T.SOLD/ENG 1,2X0,65M KP1000 1231 BRASCAMP"
ESPELHO FIX BLISTER 85G 22211008500 TEKBOND
CESTA RETANGULAR POLIPROPILENO - 6 GARRAFAS
Manilha Curva 11mm Porca Contrapino Aço Alta Resistencia Suporte Galvanizado 8031R ROBUR 080310111 ROBUR
CADERNETA CLASSICA SEM PAUTA 160FLS 14x21 VERDE OLIVA CICERO PAPELARIA
Parafuso Olhal Macho M10 Aço Alta Resistência 8041 ROBUR 080410210 ROBUR
