Produto,Marca,Modelo,Categoria
NIVEL DE ALUMINIO 24 600MM 3 BOLHAS C/REGUA VERMELHO 332239 MTX. MTX,MTX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas para construção civil"
LIMA NICHOLSON FACAO / AGRO 8POL 08994E NICHOLSON.,NICHOLSON, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas para pintura"
LUVA SOLDADOR AZUL CANO LONGO 342 GALZER. GALZER,GALZER, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas para solda"
FRESA ACO RAPIDO 5MM 4 CORTES LONGA HSS HT,CORDEIRO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"Soquete Impacto Sextavado 15mm Encx 1/2"""" Branco 720MC BETA 007202015 BETA",BETA,720MC,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
HASTE 9X9MM COMPR. 50MM P/REL. APAL. S.513 953.638 MITUTOYO,MITUTOYO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
DISCO ACABAMENTO AMF 50MM SF ROLOC H0001496647 - 3M,3M,H0001496647,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"Soquete Estriado em aço Cromo Vanádio 9 mm - Encaixe 1/2"" 44833/109 TRAMONTINA PRO 44833109 TRAMONTINA PRO",TRAMONTINA PRO,44833/109,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"Chave Catraca Redonda Reversível 3/8"" 203mm Trabalho em Altura 44395/007 TRAMONTINA PRO 44395007 TRAMONTINA PRO",TRAMONTINA PRO,44395/007,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"MACHO MÁQUINA M4 X 0,7 ESPECÍFICO P/ALUMÍNIO DIN371 SFT-AL 169 OSG",OSG, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
PAQUIMETRO DIGITAL 40  1000MM SERV. PESADO 100.182 DIGIMESS,DIGIMESS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SERRA COPO AÇO INOX 35MM  HEAVY DUTY,HEAVY DUTY, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
FITA ADESIVA EMPAC PP TRANSP 48MMX 50M TARTAN HB004741144 - 3M 7018716,3M,7018716,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE COMB ACRV 8MM X8MM X125MM 1B-8MM - GEDORE 1B8MM,GEDORE,1B8MM,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SOQUETE ALLEN 1/2  X 9MM DE IMPACTO 016.261 / 080.143 GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SACA POLIA HIDR 3 GARRAS ARTIC 180MM 8567 H - GEDORE 8567H,GEDORE,8567H,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SERRA FITA P/ MADEIRA WPP 10 X 4/P  (ROLO PROD.) STARRETT,STARRETT SF, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"SERRA FITA BIMET INTENSS 27X0,9MM 10-14DPP 4,48M IT27X10-14* STARRETT IT27X10-14/S-4,48",STARRETT,"IT27X10-14/S-4,48","MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"MACHO MN 352 M M22 X 2,5MM HSS 3PCS E100M22NO8 DORMER",DORMER,E100M22NO8,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ANEL PADRAO DE 300MM 177-312 MITUTOYO,MITUTOYO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
PONTA MONTADA B-70  PM B-70 DRV,CORDEIRO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ALICATE CORTE DIAGONAL 44002/106 TRAMONTINA. TRAMONTINA,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"GERADOR DE ENERGIA REFRIGERADO A ÁGUA TD25SGE3  4T 27,5KVA PARTIDA ELÉTRICA TOYAMA",TOYAMA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
BROCA HELIC HSS/CO BRI CIL 18X 191MM A90018.0 DORMER,DORMER,A90018.0,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
JOGO DE CHAVE TORX VERIFICADOR PLASTICO 024.700 GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
MARTELETE ELET 220V 1700W SDS MAX GBH 12-52 D BOSCH,BOSCH,GBH 12-52 D,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"TALHA MANUAL 5,0 TON ELEVACAO 3MT 61 43 050 030 VONDER",VONDER, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
FRESA DE BORDA DIAMETRO 1/4  HASTE 1/4  D-49806,MAKITA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
R07200080 CH COMB C/CATRACA REVERSIVEL 8MM GEDORE RED.. RED,GEDORE RED, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SOQUETE 1/2  X 19MM DE IMPACTO SEXTAVADO 019.014 GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
