Produto,Marca,Modelo,Categoria
INTERRUPTOR DESLISANTE QUICK-STEP 48L480 WALTER,WALTER, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
LAVADORA DE ALTA PRESSÃO A GASOLINA TPW3400T-XP 3400 PSI 4T 223CC TOYAMA,TOYAMA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SERRA COPO BI-METAL 168MM FAST CUTFCH168M-G STARRETT,STARRETT, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SUPORTE P/FERRAMENTAS 35MM SM-A1 MARCON,MARCON, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"Jogo de Macho Manual HSS M16x2,00mm Din 352 Esquerdo com 3 Peças 101 OSG 18888 OSG",OSG,101,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE PARA TUBO DE 10 POL. MAYLE CRESCENT,MAYLE CRESCENT, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
MÓDULO P/MEDIÇÃO DE PRESSÃO C/DUAS FAIXAS 15  TO 100  FLUKE-750PD6,FLUKE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
MORSA PARA MÁQUINA MMMI 5 100MM METALCAVA,METALCAVA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
Chave Válvula Segurança 50mm Antifaiscante 965BA BETA 009650850 BETA,BETA,965BA,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE ESTRELA 10X11MM 44630/103 TRAMONTINA. TRAMONTINA,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
BROCA COM 3 PONTAS PARA MADEIRA 8.0MM CORTAG,CORTAG, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
FILTRO MALHA  60 PARA MÁQUINA DE PINTURA AIRLESS - VONDER-62.20.111.009 VONDER,VONDER,VONDER-62.20.111.009,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
GRAMPO P/ GRAMPEADOR MEDIO 51MM (AT1150) F-32139 MAKITA,MAKITA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"CHAVE RODA CRUZ 4 BOCAS 17X19X13/16X7/8"" 44710002 TRAMONTINA GARIBALDI",TRAMONTINA GARIBALDI,44710002,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
Chave Fixa 22 x 24mm ST41210SC SATA ST41210SC SATA,SATA,ST41210SC,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SOQUETE SEXTAVADO DE IMPACTO 3/4  X 1.3/16  44892/108 TRAMO,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ADAPTADOR TIPO CANHÃO  Ñ MAGNETICO 1/4  REF 11674-13 054 349,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
PARAFUSADEIRA FURADEIRA BRUSHLESS 12V COM BOLSA E ACESSÓRIOS - KRESS-KUA12.1 KRESS,KRESS,KRESS-KUA12.1,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ARMARIO AM-41 MARCON,MARCON, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
MOTO ESMERIL 6  1/2HP MONO THOR CEL,CORDEIRO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
INVERSOR DE SOLDA RIV 206 AC/DC COM TOCHA TIG  VONDER,VONDER, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
BICO INFLADOR DUPLO ROSCA F 1/4POL. COM PRESILHA  SCHWEERS,SCHWEERS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
TALHA MANUAL 1 TONELADA COM CORRENTE 5 METROS CSM,CSM, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ESPONJA MULTIUSO 102X260MM SCOTCH-BRITE H0001629981 - 3M,3M,H0001629981,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE ESTRELA DE BATER 55MM STELS,STELS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
TAMPO EM ANGELIN BICOLADO ENVERNIZ. 1600 X 730 X 45MM MA-2 MARCON,MARCON, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
RODIZIO FIXO DE POLIURETANO 6  CAP.280KG RM-92 MARCON,MARCON, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ESMERILHADEIRA ANGULA 5  125MM 1.500W 11000 RPM 220V DWE4314N-B2,DEWALT, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SERRA TICO-TICO A BATERIA COM LÂMINA DE CORTE 18V  - WESCO-WS23059 WESCO,WESCO,WESCO-WS23059,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
PINO P/ PINADOR PNEUMATICO 25MM (CX 5000) MTX,MTX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE FIXA 6-36 X 41 GEDORE.. GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE T ALLEN ACRV FOSF FIXA 5X 195MM 42T-5MM - GEDORE 42T5MM,GEDORE,42T5MM,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
MARTELO TIPO PENA 300GRS 40443/005 TRAMONTINA MASTER,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
MICROMETRO EXTERNO DIG. S/SAIDA C/IP67 0-25MM 796.1MXRL-2,STARRETT, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
PARAFUSADEIRA/FURADEIRA A BATERIA 18V 3/8 POL. SEM CARREGADOR E - DWT-6014182000 DWT,DWT,DWT-6014182000,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SOQUETE SEXTAVADO LONGO DE 13MM COM ENCAIXE 1/4 POL. GEDORE RED,GEDORE RED, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE PHILLIPS 3/8  X 8  036.363 ENCARTELADA GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
JOGO DE MACHO UNF Nº12 (7/32 ) 28 FIOS (3PÇS) AÇO LIGA WS ANSI HTOM,HTOM, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"PINCA 2,4MM P/TOCHA TIG HW26ER (0705915) ESAB",ESAB, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE ALLEN JG 428P 1/16 A 1/4 C/ 8 PECAS GEDORE. GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
MARRETA C/ CABO DE BORRACHA ALMA AÇO 6KG 050.883 GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SOQ EST 1/2 POL ACO CRV ENCAIXE 1394755 STELS. STELS,STELS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
Martelo Alemão 42mm Cabo Fibra 1370FT BETA 013700542 BETA,BETA,1370FT,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"CHAVE JG FENDA/PHIL 5PC AZ 1/8X3-1/4X6-8""/1/8XPH0-3/16XPH1 - GEDORE 150160S3",GEDORE,150160S3,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SERRA COPO BI-METAL 46MM POWER CHANGE 2 608 584 633 BOSCH,BOSCH, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE PHILLIPS TOCO 1/4  X 1.1/2  036.420 GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ALICATE UNIVERSAL 8  ISOLADO IEC 44300/008 TRAMONTINA,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"Soquete Estriado em aço Cromo Vanádio 28 mm - Encaixe 3/4"" 44853/128 TRAMONTINA PRO 44853128 TRAMONTINA PRO",TRAMONTINA PRO,44853/128,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
DISCO DE LIXA 125MM GR150 C/VELCRO C/10PÇS D-54184,MAKITA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE POLIGONAL ABERTA 10 X 11MM 44635/102 TRAMONTINA,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ANEL VEDACAO REDONDO N12 X 2  9645-948-7526  RE-98,STIHL , ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
Manipulo para Chave Estrela Pesada 46 a 55mm 25 x 760 mm 92/3 BETA 000920030 BETA,BETA,92/3,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE ESTRELA  SATA 12X14 MM ST42204SC SATA.,SATA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
TALAB EM Y ELAST C/ABS G55MM PT/LAR WPSAN245140ADD DELTA,DELTA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SOQUETE 1/2  X 27MM DE IMPACTO LONGO 44885/127 TRAMONTINA,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
BROCA PARA MADEIRA 3 X 61MM COM 10 UNIDADES MAKITA,MAKITA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"PINO GRAXEIRO 65G AC 1/8"" NPT 23C WASINGER",WASINGER,23C,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
LIXADEIRA DE PAREDE 750WTS 220V LPC750 CSM,CSM, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
Bit Impacto Hexagonal 14mm Encx 16mm 727/ES16 BETA 007270114 BETA,BETA,727/ES16,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"CHAVE IMP PNEUM REV 1"" 3138NM 3200RPM AT5190TK - PUMA EZ9F13210",PUMA,EZ9F13210,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
PROJETOR MODULAR LED - 5.000K - LENTE 90º - BIVOLT,CONEXLED,CLF-MP150FK50CF90,"MRO: MATERIAL, REPARO E OPERAÇÃO > ILUMINAÇÃO > Luminárias"
LAMPADA FLUOR TUB T10 5000K G13 40W T1040W/75750 PHILIPS,PHILIPS,T1040W/75750,"MRO: MATERIAL, REPARO E OPERAÇÃO > ILUMINAÇÃO > Outros objetos de iluminação"
LUMINARIA REFLETOR LED RETANG SOBREPOR PT 30W BIVOLT 5000K LUZ DO DIA 3600LM DI,OSRAM/LEDVANCE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > ILUMINAÇÃO > Outros objetos de iluminação"
SINALIZ SON CAMPAINHA 220V - PIAL 41278,PIAL,41278,"MRO: MATERIAL, REPARO E OPERAÇÃO > ILUMINAÇÃO > Outros objetos de iluminação"
LAMPADA FLUORESCENTE TUBULAR T8 32W G13 4100K BRANCO NEUTRO LUZ BRANCA 1200MM,PHILIPS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > ILUMINAÇÃO > Outros objetos de iluminação"
LAMPADA SINALIZ LED CL BA9S 24V - SADOKIN DBR-90,SADOKIN,DBR-90,"MRO: MATERIAL, REPARO E OPERAÇÃO > ILUMINAÇÃO > Outros objetos de iluminação"
LAMPADA FLUOR TUB T5 3000K G5 28W 1191MM SMARTLUX 7009685 - LEDVANCE LUMILUXT5HE28WSL830,LEDVANCE,LUMILUXT5HE28WSL830,"MRO: MATERIAL, REPARO E OPERAÇÃO > ILUMINAÇÃO > Outros objetos de iluminação"
COLA SPRAY REPOSICIONAVEL 340G/500ML 21593006200 TEKBOND,TEKBOND, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > LUBRIFICANTES > Aditivos"
TINTA MAZA ZARCAO CINZA ESCURO 900ML 15454,MAZA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > LUBRIFICANTES > Aditivos"
COLA BASTAO 40G BLISTER 22201040002 TEKBOND,TEKBOND, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > LUBRIFICANTES > Aditivos"
Graxa Branca Spray 300ml/200g Lítio 5986113015 5986113015 WURTH,WURTH,5986113015,"MRO: MATERIAL, REPARO E OPERAÇÃO > LUBRIFICANTES > Graxas"
"CONDULETE AL T 1"" S/R NAT S/TP S/V S/PINT 56106313 - TRAMONTINA ELETRICA 56117007",TRAMONTINA ELETRICA,56117007,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
CONVERSOR SINAL MINI 24V MCR-SL-U-U,PHOENIX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
MODULO TOMADA 1 MOD BR 2P+T 10A 250V BA PLUS+ 615038BC PIAL LEGRAND,PIAL LEGRAND,615038BC,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
"PARTIDA 3RM1 DIR SAFETY 1,6-7A PARAF",SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
BARRAMENTO ELET N 12F 100A 12X16MM2 AZ 928051 - CEMAR LEGRAND,CEMAR LEGRAND,928051,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
DISJUNTOR CAIXA MOLDADA TRIPOLAR 25A 36KA 380/415V 50/60HZ,ABB, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
PLACA COMUNIC VW3A3422 VW3A3422 - SCHNEIDER,SCHNEIDER,VW3A3422,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
MANTA REPARO COBERT CABO BORR-EPR 70-185MM 35KV HB004208078 HB004208078 - 3M,3M,HB004208078,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
"PLACA 3+3 POSTOS 4X4"" BR PLUS+ 618516BC - PIAL LEGRAND",PIAL LEGRAND,618516BC,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
DISJUNTOR CAIXA MOLDADA TRIPOLAR 100A 18KA 380/415V 50/60HZ,WEG, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
LANTERNA P/ BICICLETA VONDER. VONDER,VONDER, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
PERFIL COBERTURA DAS BORDAS P/ BARRAS 1000MM C/10PC 9676042 9676042 - RITTAL,RITTAL,9676042,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
MODULO TOMADA TELEFONE RJ11 (4 FIOS) 1 MOD BC COMPOSE,WEG, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
INDICADOR DIG TEMP PAINEL PROG 4DIG PT 24V 4-20MA USB N1040I N1040-I - NOVUS,NOVUS,N1040-I,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
ANILHA PVC AM 4-16MM2 (N) MHG MHG4/9 - HELLERMANN SUPERLED 03265,HELLERMANN,SUPERLED 03265,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
"CONECTOR UNIDUT RETO AL S/V S/R 2.1/2"" 56131007 56131007 - TRAMONTINA",TRAMONTINA,56131007,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
CHAVE PARTIDA DIRETA TRIFASICO 380V,WEG, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
INTERRUPTOR DIFERENCIAL RESIDUAL 3P+N 40A 30MA 10KA 400V 50HZ TIPO A,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
DISJUNTOR MINI DIN TRIPOLAR 1A CURVA C 40KA 220/380V,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
LAMP LED T8 G13 6500K BIV 40W 2400MM OUROLUX SUPERLED TUBE HO,OUROLUX,SUPERLED TUBE HO 40W,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
CONVERSOR CORRENTE E-12VDC S-12VDC 5A QUINT-OS/12DC/24DC/5,PHOENIX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
MODULO ADAPTADOR RJ45 1 MOD BC (EMB C/2UN) REFINATTO,WEG, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
DISJUNTOR MOTOR TRIPOLAR 32A 400V 100KA 400V 50/60HZ,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS DIVERSOS > Outros materiais MRO"
TAMPA PAINEL MOD AC CZ CL 400X225X25MM 8PQ20224BA01 - SIEMENS  8PQ20224BA01,SIEMENS,8PQ20224BA01,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros componentes eletrônicos"
VISOR REPOSICAO POLIC IPT E060093002 - WETZEL  E060093002,WETZEL,E060093002,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros componentes eletrônicos"
ALPHA-QDR/S/IP43/1100X300 8GK11025KK12 - SIEMENS  8GK11025KK12,SIEMENS,8GK11025KK12,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros componentes eletrônicos"
RELE SUPERVISAO ISOL 380V C9041912000 - CONEXEL  C9041912000,CONEXEL,C9041912000,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros componentes eletrônicos"
LUVA PROT MEC VAQ T M VT220,ROSA CAMPOS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
ACESSORIO FRONTAL MONOBL ANTIVANDALISMO 1 BOT INOX 333114,PIAL, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
"Redução com Rosca 1.1/2"" x 1"" 56124/009 TRAMONTINA ELETRIK 56124009 TRAMONTINA ELETRIK",TRAMONTINA ELETRIK,56124/009,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
FRONT BOT ILUM RED VD 22MM A22RLTRGN ,EATON,A22RLTRGN,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
S8 SUP W10-8PQ9157-7AA20,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
PLACA REDONDA 3+3 POSTOS 4X4 SKY - PIAL LNB4826TS,PIAL,LNB4826TS,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
Fusível NH 1 GL/GG Retardado 160A 120KA em 500VCA 3NA7136 SIEMENS 3NA7136 SIEMENS,SIEMENS,3NA7136,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
TRILHO DIN 24 MOD GEMINI 4-5 1SL0292A00,ABB ELETRIFICACAO,1SL0292A00,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
AS 168 68X1154MM AF ASTER SL LUMINARIA LED BRC NEUTRO 07542,INTRAL, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
COMUTADOR KNOB LG 2POS  PT 22MM 60G 2NA+2NF NKP260/01+B22,ACE SCHMERSAL,NKP260/01+B22,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
PLUGUE IND MOV MACHO PA 3P+T 16A 690V PT N4075,STECK, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
KIT CAIXA LIGACAO 63-100 W22 15118630,WEG PARTES MOTOR, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
PLUGUE IND SOB FEM 2P+T 32A 380-440V VM SN3279 STECK,STECK,SN3279,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
INTERRUPTOR UNIP 15A 14101 N1FB2FE3Q,MARGIRIUS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
CHAVE FIM CURSO ACIONAMENTO TIPO ROLETE R50 WLCA2-7,OMRON, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
"SENSOR INDU MET 1,5MM SL1,58G1LPA",WEG CONTROLS,"SL1,58G1LPA","MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
S8 SUPORTE 8PQ9143-1AA62,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
MOTOR 3F 8P 0.16CV 71 380/660 B3D IP55 WFF2 IE2 11742459,WEG MOTOR, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
BOTAO DUP VD/VM 22MM CLBD1403/05+CLP101+CLP110+C,ACE SCHMERSAL,CLBD 14 03/05+CLP101+CLP110+CL,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
SINALEIRO RED METAL VD 22MM 125V LED VZ222+L001+S7LS/15125V*,ACE SCHMERSAL,VZ 222+L001+S7LS/15 125VCA/CC+,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
SENSOR CAPAC 32MM 30MM CC  CA NF M12 CS3032P70UFJV1EX,SENSE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
TRANSF CORRENTE ENROLAD TAB-40 15/5,ABB ELETRIFICACAO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
BOTAO COG 36MM VM 22MM 1NA+1NF EZ236/03+B11,ACE SCHMERSAL,EZ2 36/03+B11 10330103,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
FRONTAL CLB2/15 + CLP110 + CLP001 + S1LS/15 220V 14624915,ACE SCHMERSAL,14624915,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
CAIXA PASSAGEM SOB CZ MONT EM/REARME 14403094,ACE SCHMERSAL, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
Conjunto 4x2 - 1 Pulsador Campainha 10a 250v~ 57170/007 ELETRIK 57170007 TRAMONTINA ELETRIK,TRAMONTINA ELETRIK,57170/007,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
"CAIXA DERIV MULT CZ TIPO X 2.1/2"" C/ 2 TPOES, E002400080",WETZEL, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
DISJUNTOR MOTOR 56 - 80A DM280A,METALTEX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
"CABO FLEXIVEL 1KV 90G HEPR 4X1,5MM2 PT",CABOS DIVERSOS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
COMPUTADOR SIMATIC IPC527G BOX PC 6AG40250DB304AB0,SIEMENS AUTOMACAO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
CONECTOR INDUSTRIAL 32A 3P 2P+T 110-130V AMARELO 12821518,WEG INT E TOM, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > MATERIAIS ELÉTRICOS E ELETRÔNICOS > Outros materiais elétricos"
