ID Departamento,Departamento,ID Categoria,Categoria,ID subcategoria,Subcategoria
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C337,Filtros de gás
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C346,Filtros industriais
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C358,Flanges
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C366,Luvas hidráulicas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C377,Mangueiras hidráulicas e industriais
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C382,Molas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C390,Outros materiais hidráulicos ou pneumáticos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C395,União
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C400,Válvulas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C025,Amplificadores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C079,Conduletes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C132,Fontes de energia
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C163,Fusíveis e disjuntores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C240,Módulos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C269,Outros componentes eletrônicos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C290,Outros materiais elétricos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C314,Plugs e adaptadores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C329,Resistências
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C340,Terminais
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C350,Tomadas e interruptores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C360,Transformadores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C773,Cabos e fios elétricos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C774,Chaves magnéticas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C775,Contatores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C776,Energia solar
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C777,Extensões elétricas e filtros de linha
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C778,Ferramentas de eletricista
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C779,Quadros e caixas elétricas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C780,Reatores e soquetes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C781,Tubos e eletrodutos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S49,LUBRIFICANTES,C048,Aditivos
